sample_id,x,y,vx,vy,ax,ay
matlab_0000,9.725638178746598,7.1547005383792497,-2.1160992582732545,-1.2217304763960306,-5.3967354151052787,-3.5378969230091122
matlab_0001,9.6896237319458169,7.1338493529012394,-2.205427090909323,-1.2802684901793513,-5.3221198280351771,-3.4863126014254218
matlab_0002,9.6521309854876023,7.1120297959068495,-2.2934871819889979,-1.3379292204308384,-5.2446116127878604,-3.4326266530970035
matlab_0003,9.6131814686866299,7.089256779618597,-2.3802315862850532,-1.3946778324335547,-5.1642429631342477,-3.3768624503688738
matlab_0004,9.5727975053708239,7.0655457935112898,-2.4656129136613112,-1.4504798954969811,-5.0810483139994425,-3.3190451187485608
matlab_0005,9.5310022043135838,7.0409128973306503,-2.5495843673242251,-1.5053014129191675,-4.9950644499643726,-3.2592016265505332
matlab_0006,9.4878194490132408,7.0153747136000026,-2.6320997839131079,-1.5591088534679294,-4.9063306173594254,-3.197360877501692
matlab_0007,9.4432738867886261,6.9889484195892377,-2.713113675486603,-1.6118691844285591,-4.8148886396660542,-3.1335538060753807
matlab_0008,9.3973909171587096,6.9616517387196239,-2.7925812734577349,-1.6635499062612711,-4.7207830358816683,-3.0678134752717536
matlab_0009,9.3501966794733988,6.9335029313773608,-2.8704585745235729,-1.7141190889063815,-4.6240611414364583,-3.0001751765078959
matlab_0010,9.3017180397619708,6.9045207851080095,-2.9467023886281751,-1.7635454097692274,-4.5247732311786963,-2.9306765312219998
matlab_0011,9.2519825767649504,6.8747246041637631,-3.0212703889886305,-1.811798193409603,-4.4229726438670944,-2.8593575937322724
matlab_0012,9.2010185671148843,6.8441341983748059,-3.0941211642041644,-1.8588474529523715,-4.3187159075253359,-2.7862609548228807
matlab_0013,9.1488549696312038,6.8127698713161706,-3.165214272456609,-1.904663933226441,-4.2120628649252501,-2.7114318454568545
matlab_0014,9.0955214086943528,6.7806524077411607,-3.2345102977976703,-1.949219155628712,-4.1030767983713599,-2.6349182399391022
matlab_0015,9.0410481566645107,6.7478030602528394,-3.3019709085037432,-1.9924854646976105,-3.9918245528616092,-2.5567709577727284
matlab_0016,8.9854661153107376,6.714243535185151,-3.3675589174628389,-2.0344360763675846,-3.8783766565973181,-2.4770437633685267
matlab_0017,8.9288067962171311,6.6799959776661266,-3.4312383445401213,-2.0750451278611552,-3.7628074377108893,-2.3957934626821102
matlab_0018,8.8711023001335096,6.6450829558363367,-3.4929744808488619,-2.1142877291590061,-3.6451951359735033,-2.3130799957662296
matlab_0019,8.8123852952397055,6.6095274441968437,-3.5527339548321,-2.1521400159710069,-3.5256220081382126,-2.2289665241384071
matlab_0020,8.7526889942942177,6.5733528060624495,-3.6104848000369802,-2.1885792041119743,-3.4041744254680051,-2.1435195117775394
matlab_0021,8.6920471306401552,6.5365827750977568,-3.6661965244387376,-2.2235836451655264,-3.2809429618953123,-2.0568087984787602
matlab_0022,8.6304939330440007,6.4992414359157991,-3.7198401811444644,-2.2571328832974782,-3.1560224711609344,-1.9689076642153651
matlab_0023,8.5680640993458805,6.4613532037211909,-3.7713884402787183,-2.2892077130571744,-3.0295121511886411,-1.8798928830815096
matlab_0024,8.5047927689034193,6.4229428029830169,-3.820815661822996,-2.3197902379806976,-2.90151559386933,-1.7898447653221194
matlab_0025,8.4407154938154516,6.3840352451257774,-3.8680979691502309,-2.3488639297845544,-2.772140818357935,-1.6988471858985985
matlab_0026,8.375868208916339,6.3446558052305031,-3.9132133229633168,-2.3764136879121929,-2.6415002859303698,-1.6069875979931969
matlab_0027,8.3102872005368678,6.304829997742222,-3.9561415953137899,-2.4024258991688043,-2.5097108944092943,-1.5143570298234255
matlab_0028,8.2440090740332739,6.2645835511848711,-3.9968646433433737,-2.4268884971525124,-2.3768939501498831,-1.4210500631235274
matlab_0029,8.177070720092237,6.2239423818895601,-4.0353663823577106,-2.4497910211627794,-2.2431751155827873,-1.327164791654865
matlab_0030,8.109509279826483,6.1829325667477333,-4.0716328578084022,-2.471124674239666,-2.1086843303444676,-1.2328027581341141
matlab_0031,8.0413621086829234,6.1415803150068742,-4.1056523157271485,-2.4908823799611715,-1.9735557040881624,-1.1380688680196918
matlab_0032,7.9726667391931407,6.099911939132646,-4.1374152711247572,-2.5090588376004686,-1.8379273791645807,-1.043071278675237
matlab_0033,7.9034608426044199,6.0579538247683891,-4.1669145738386204,-2.5256505752210496,-1.7019413614928953,-0.94792126253642506
matlab_0034,7.8337821894383666,6.01573239982985,-4.194145471285708,-2.5406560002660012,-1.5657433181117788,-0.85273304304575248
matlab_0035,7.7636686090333109,5.973274102780934,-4.2191056675545138,-2.5540754471783877,-1.4294823401091972,-0.75762360229079651
matlab_0036,7.6931579481364336,5.9306053501438027,-4.2417953782498392,-2.5659112215736708,-1.2933106698792334,-0.66271245948551538
matlab_0037,7.6222880286213632,5.8877525033048999,-4.2622173804890791,-2.5761676404726752,-1.1573833919453058,-0.56812141967213936
matlab_0038,7.5510966044171655,5.8447418346867464,-4.2803770574387201,-2.5848510680954568,-1.0218580869211733,-0.47397429229273946
matlab_0039,7.479621317744801,5.8015994933636277,-4.296282436775674,-2.5919699467130486,-0.88689444855289679,-0.38039657958355466
matlab_0040,7.4078996547674691,5.7583514702077805,-4.3099442224604578,-2.5975348220560628,-0.7526538641943451,-0.28751513507987969
matlab_0041,7.3359689007713342,5.715023562660865,-4.3213758192187957,-2.6015583627868875,-0.61929895951226388,-0.19545779288197451
matlab_0042,7.2638660950030589,5.6716413392337488,-4.330593349145345,-2.6040553735562315,-0.48699310869020251,-0.1043529687194038
matlab_0043,7.1916279853001868,5.6282301038453157,-4.3376156598685771,-2.6050428011854931,-0.35589991189770454,-0.014329234257695056
matlab_0044,7.1192909826594617,5.5848148601185512,-4.3424643237494784,-2.6045397335438842,-0.22618264230557383,0.074485133488152222
matlab_0045,7.046891115896611,5.5414202757589806,-4.3451636276291863,-2.6025673907239817,-0.098003665451589228,0.16196262534066719
matlab_0046,6.9744639865588072,5.4980706471469096,-4.3457405526917006,-2.5991491081610714,0.028476165715072943,0.24797699302644016
matlab_0047,6.9020447242577889,5.4547898642801913,-4.3442247440676915,-2.5943103113906067,0.15309813626830326,0.33240375898072028
matlab_0048,6.8296679425972249,5.4116013762093358,-4.3406484698734946,-2.588078482193767,0.27570631088163322,0.41512073934449401
matlab_0049,6.7573676958724773,5.368528157109786,-4.3350465694556952,-2.5804831159434807,0.39614818674758034,0.49600857623005723
matlab_0050,6.6851774367239658,5.3255926731394387,-4.3274563906951666,-2.5715556700315263,0.51427535261952684,0.57495127498712062
matlab_0051,6.613129974927098,5.2828168502303505,-4.3179177163146347,-2.5613295033310668,0.62994414838937218,0.65183674190162932
matlab_0052,6.5412574375018364,5.2402220429639348,-4.3064726792295307,-2.5498398067272188,0.74301631931165157,0.72655731751219044
matlab_0053,6.4695912303234806,5.197829004677704,-4.2931656670820812,-2.5371235248301716,0.8533596587569916,0.79901030054263966
matlab_0054,6.3981620014130938,5.1556578589489304,-4.2780432162018522,-2.5232192690697941,0.96084863323347036,0.86909845733138091
matlab_0055,6.3269996060809932,5.1137280725966479,-4.2611538953408861,-2.5081672224564708,1.0653649833612344,0.93673051159449283
matlab_0056,6.2561330740901466,5.0720584303378713,-4.2425481796366267,-2.4920090363787737,1.1667982945295758,1.0018216093955736
matlab_0057,6.1855905789978181,5.0306670112271643,-4.2222783153591985,-2.4747877198931434,1.2650465311103289,1.0642937543135051
matlab_0058,6.1153994098237279,4.9895711670002401,-4.2003981760998927,-2.4565475220426869,1.3600165283487977,1.124076208001612
matlab_0059,6.0455859451812435,4.948787502432781,-4.1769631111528334,-2.4373338078200213,1.4516244364024908,1.1811058516170947
matlab_0060,5.9761756299948106,4.9083318578147965,-4.1520297869304166,-2.4171929284615268,1.5397961114456491,1.2353275039657365
matlab_0061,5.9071929549121789,4.8682192936288011,-4.1256560223334064,-2.3961720868259806,1.6244674492981801,1.2866941926489091
matlab_0062,5.8386614385039834,4.8284640775070544,-4.0979006190671718,-2.3743191986684153,1.705584657663032,1.3351673750113475
matlab_0063,5.7706036123262585,4.7890796735291241,-4.0688231879550907,-2.3516827506684272,1.7831044637558122,1.3807171062603292
matlab_0064,5.7030410089034644,4.7500787339065589,-4.0384839723474473,-2.3283116561111865,1.8569942548719767,1.4233221527496056
matlab_0065,5.6359941526710786,4.7114730930859352,-4.0069436697583996,-2.3042551091471362,1.9272321502465388,1.4629700490834221
matlab_0066,5.5694825538976493,4.6732737642862867,-3.9742632528840276,-2.2795624385731612,1.9938070034026167,1.499657098383997
matlab_0067,5.5035247055870045,4.6354909384708636,-3.9405037911607153,-2.254282962083126,2.0567183350427336,1.5333883157670343
matlab_0068,5.4381380833419719,4.5981339857376105,-3.9057262740150915,-2.2284658419290575,2.1159761973929538,1.564177315769923
matlab_0069,5.3733391481519668,4.5612114590971293,-3.8699914369345585,-2.2021599429161207,2.1716009717482945,1.5920461451628545
matlab_0070,5.3091433520482951,4.5247311005916719,-3.833359591451531,-2.1754136936251629,2.2236231017719801,1.6170250632305163
matlab_0071,5.2455651465531288,4.4886998496942772,-3.7958904600856038,-2.1482749517165955,2.2720827658553358,1.6391522722288672
matlab_0072,5.182617993831272,4.4531238539131541,-3.7576430172268989,-2.1207908741195376,2.3170294925360269,1.6584736012863122
matlab_0073,5.1203143804379563,4.4180084815137235,-3.7186753368719936,-2.0930077928513589,2.3585217235870979,1.6750421475214199
matlab_0074,5.0586658335414683,4.3833583362585768,-3.6790444480423816,-2.0649710971461892,2.3966263299183916,1.6889178785818437
matlab_0075,4.9976829394862179,4.3491772740551662,-3.638806198626015,-2.0367251224978138,2.4314180858669627,1.7001672011649194
matlab_0076,4.9373753645503795,4.3154684213914836,-3.5980151282865624,-2.0083130471439552,2.4629791077891214,1.708862500355171
matlab_0077,4.877751877742317,4.282234195431724,-3.5567243509843705,-1.9797767964366384,2.4913982631008236,1.7150816548052661
matlab_0078,4.818820375471744,4.249476325637656,-3.5149854475494888,-1.9511569554585748,2.5167705560442655,1.7189075328943648
matlab_0079,4.7605879079251698,4.2171958767755671,-3.4728483686420057,-1.92249269015957,2.5391964964898914,1.7204274750232225
matlab_0080,4.7030607069704518,4.1853932731653147,-3.4303613483302988,-1.8938216772013565,2.5587814580172625,1.7197327671518496
matlab_0081,4.6462442154122483,4.1540683240252703,-3.3875708284148498,-1.8651800426150795,2.5756350313628142,1.7169181105582658
matlab_0082,4.5901431174189549,4.1232202497659527,-3.3445213935257123,-1.8366023092942456,2.5898703790844002,1.7120810926022769
matlab_0083,4.5347613699419584,4.0928477090855049,-3.3012557169267294,-1.8081213532682432,2.6016035969811426,1.7053216630235646
matlab_0084,4.4801022349499524,4.0629488267216187,-3.2578145168703108,-1.7797683686285546,2.6109530874327289,1.6967416199971654
matlab_0085,4.4261683123043687,4.0335212217172183,-3.2142365232640118,-1.7515728409122311,2.6180389493956593,1.6864441098207354
