sample_id,x,y,vx,vy,ax,ay
matlab_0000,10.392304845413264,5.9999999999999991,-2.7206990463513265,-1.5707963267948966,-5.3420800854038015,-3.0842513753404242
matlab_0001,10.346222078169808,5.9733941019269867,-2.8089805362906075,-1.6217656687758015,-5.2511855207389893,-3.0317733739633206
matlab_0002,10.298680719132602,5.945946085489215,-2.8957215597125145,-1.6718456219982232,-5.1572303157980519,-2.9775283110989039
matlab_0003,10.249706866078997,5.9176710182454633,-2.9808714232641407,-1.7210069186412145,-5.0602529544441381,-2.9215384054159221
matlab_0004,10.199327456216492,5.8885844523997317,-3.0643800956099612,-1.7692206730997422,-4.960294415247863,-2.8638273159031509
matlab_0005,10.147570254796918,5.8587024182276384,-3.1461982500397707,-1.8164584065843912,-4.8573982957414206,-2.8044202136075387
matlab_0006,10.094463843003048,5.828041417082753,-3.2262773091825472,-1.8626920729369252,-4.7516109408250928,-2.7433438557697385
matlab_0007,10.040037605071952,5.7966184139622552,-3.3045694918927966,-1.907894085700131,-4.6429815749999062,-2.6806266621686685
matlab_0008,9.9843217146183729,5.764450829610742,-3.3810278623699661,-1.952037346476925,-4.5315624380304307,-2.6162987934464659
matlab_0009,9.9273471201204888,5.7315565321404192,-3.455606381564261,-1.9950952746095147,-4.4174089235651612,-2.550392231141001
matlab_0010,9.8691455295295007,5.6979538281454474,-3.5282599609136587,-2.0370418382044795,-4.3005797201590159,-2.4829408591052529
matlab_0011,9.8097493939639744,5.663661453287868,-3.5989445184468853,-2.0778515865238374,-4.1811369540528753,-2.4139805459411199
matlab_0012,9.7491918904492021,5.6286985623321621,-3.6676170372756314,-2.1174996837555433,-4.0591463329692363,-2.3435492280198709
matlab_0013,9.6875069036617365,5.5930847186054606,-3.7342356264860457,-2.1559619441692095,-3.9346772900810727,-2.2716869926026146
matlab_0014,9.6247290066390718,5.5568398828602659,-3.7987595844246242,-2.1932148686542279,-3.807803127203381,-2.1984361605119709
matlab_0015,9.5608934404147714,5.519984401516794,-3.8611494643568478,-2.2292356826278055,-3.6786011561442638,-2.1238413677411594
matlab_0016,9.4960360925397431,5.4825389942622218,-3.9213671424582279,-2.2640023752896115,-3.5471528370355201,-2.0479496453192025
matlab_0017,9.4301934744513254,5.4445247409847237,-3.9793758880767367,-2.2974937401878099,-3.4135439123425546,-1.970810496681582
matlab_0018,9.3634026976529778,5.4059630680208137,-4.0351404361829433,-2.3296894170481663,-3.2778645351312985,-1.8924759717251827
matlab_0019,9.2957014486689484,5.3668757336954105,-4.0886270618994338,-2.3605699348036269,-3.1402093900470431,-1.813000736655451
matlab_0020,9.2271279627403935,5.3272848131352886,-4.139803656974304,-2.3901167557463117,-3.000677805338495,-1.7324421386635156
matlab_0021,9.1577209962318395,5.2872126823379393,-4.1886398080348073,-2.4183123207072783,-2.8593738541418321,-1.6508602644025645
matlab_0022,9.0875197977199438,5.2466820014796616,-4.2351068764264248,-2.4451400951516313,-2.7164064431263579,-1.5683179911674365
matlab_0023,9.016564077739913,5.2057156974486469,-4.2791780794102339,-2.4705846160578444,-2.571889386498003,-1.4848810296205635
matlab_0024,8.9448939771691141,5.1643369455912493,-4.3208285724571187,-2.494631539430344,-2.4259414632621588,-1.400617956852682
matlab_0025,8.8725500342320291,5.1225691506622839,-4.3600355323417661,-2.5172676882738516,-2.2786864555661728,-1.3156002385198842
matlab_0026,8.7995731501159202,5.0804359269732284,-4.3967782407024929,-2.5384811008366732,-2.130253165877507,-1.2299022387614311
matlab_0027,8.7260045531924995,5.0379610777355888,-4.4310381676951405,-2.5582610789082953,-1.9807754107094178,-1.1436012165772738
matlab_0028,8.6518857618474296,4.9951685736005027,-4.4627990553309189,-2.5765982359345134,-1.8303919885856579,-1.056777307332464
matlab_0029,8.577258545926556,4.9520825303997142,-4.4920470000496726,-2.5934845446911292,-1.6792466199426526,-0.96951348805965964
matlab_0030,8.5021648868156579,4.9087271860976029,-4.5187705340418791,-2.6089133842352279,-1.527487856705561,-0.8818955252528401
matlab_0031,8.4266469361788676,4.8651268769688034,-4.5429607047955978,-2.6228795858316305,-1.3752689593469851,-0.7940119038871184
matlab_0032,8.350746973389958,4.821306013021144,-4.5646111523088653,-2.6353794775314912,-1.2227477393473341,-0.70595373646318971
matlab_0033,8.2745073617003211,4.7772890526892189,-4.5837181833745895,-2.6464109270607015,-1.0700863651268289,-0.61781465096212285
matlab_0034,8.1979705031975492,4.7331004768297156,-4.6002808423143566,-2.6559733826580723,-0.91745112971364162,-0.52969065670849724
matlab_0035,8.1211787926192294,4.6887647620557908,-4.614300977510621,-2.6640679114877104,-0.76501217865263038,-0.44167998727843827
matlab_0036,8.0441745700975371,4.6443063534541542,-4.6257833030640798,-2.6706972352369225,-0.61294319694606925,-0.35388291975476288
matlab_0037,7.9670000729216151,4.5997496367350612,-4.6347354548856767,-2.6758657625009477,-0.46142105415215068,-0.26640156982450508
