sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,-0.52359877559829882,0.20561675835602825
matlab_0001,-0.0086976928435201217,-0.5201005767991268,0.21418075936216344
matlab_0002,-0.017335889118200609,-0.51645895774311557,0.22282741058407463
matlab_0003,-0.025912186948397864,-0.51267253049842432,0.23155792434133743
matlab_0004,-0.034424161168936596,-0.50873988892715527,0.24037327027120053
matlab_0005,-0.042869363056158794,-0.50465961287047567,0.24927415836440656
matlab_0006,-0.05124532013111191,-0.50043027262211282,0.25826102132919143
matlab_0007,-0.059549536039776058,-0.49605043370117879,0.26733399631308091
matlab_0008,-0.067779490515403856,-0.49151866193472271,0.27649290602142668
matlab_0009,-0.075932639428219012,-0.48683352885966491,0.28573723928181444
matlab_0010,-0.084006414927871004,-0.48199361745286778,0.29506613111457325
matlab_0011,-0.091998225684176732,-0.47699752819698554,0.3044783423815991
matlab_0012,-0.099905457231806188,-0.47184388548843387,0.31397223909858296
matlab_0013,-0.1077254724246505,-0.46653134439228483,0.32354577150945535
matlab_0014,-0.11545561200568658,-0.46105859774712499,0.33319645303639839
matlab_0015,-0.12309319529817966,-0.45542438362090076,0.34292133923404849
matlab_0016,-0.13063552102406983,-0.44962749311650235,0.35271700689242375
matlab_0017,-0.1380798682553403,-0.44366677852328373,0.36257953344954574
matlab_0018,-0.14542349750408212,-0.43754116180790248,0.37250447689152894
matlab_0019,-0.15266365195683862,-0.43124964343475719,0.38248685633489393
matlab_0020,-0.15979755885861119,-0.424791311502907,0.39252113350281331
matlab_0021,-0.16682243105167494,-0.41816535118269843,0.40260119532366312
matlab_0022,-0.17373546867402306,-0.41137105443137434,0.41272033789633283
matlab_0023,-0.18053386102189714,-0.4044078299627476,0.42287125208193033
matlab_0024,-0.18721478858039334,-0.39727521344156885,0.4330460109954245
matlab_0025,-0.19377542522561347,-0.389972877868555,0.44323605968301005
matlab_0026,-0.20021294060122286,-0.38250064411720003,0.45343220728113603
matlab_0027,-0.20652450267158656,-0.37485849157848428,0.46362462196073811
matlab_0028,-0.21270728045287718,-0.3670465688644971,0.47380282896479786
