sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,9.725638178746598,7.1547005383792497,-2.1160992582732545,-1.2217304763960306,-5.3967354151052787,-3.5378969230091126
pmks_positive_0001,9.6896237319458205,7.1338493529012315,-2.2054270909093265,-1.2802684901793548,-5.3221198280351771,-3.4863126014254222
pmks_positive_0002,9.6521309854876023,7.1120297959068477,-2.2934871819889997,-1.3379292204308371,-5.2446116127878595,-3.4326266530970022
pmks_positive_0003,9.6131814686866299,7.0892567796185944,-2.3802315862850549,-1.394677832433556,-5.1642429631342495,-3.3768624503688747
pmks_positive_0004,9.5727975053708274,7.06554579351128,-2.4656129136613156,-1.4504798954969842,-5.0810483139994433,-3.3190451187485568
pmks_positive_0005,9.5310022043135874,7.0409128973306414,-2.54958436732423,-1.5053014129191693,-4.9950644499643744,-3.2592016265505261
pmks_positive_0006,9.4878194490132426,7.0153747135999991,-2.6320997839131106,-1.5591088534679312,-4.9063306173594263,-3.1973608775016933
pmks_positive_0007,9.4432738867886279,6.9889484195892333,-2.7131136754866052,-1.6118691844285626,-4.8148886396660568,-3.133553806075382
pmks_positive_0008,9.3973909171587096,6.9616517387196239,-2.7925812734577367,-1.6635499062612698,-4.7207830358816683,-3.067813475271751
pmks_positive_0009,9.3501966794733988,6.9335029313773582,-2.8704585745235747,-1.714119088906384,-4.6240611414364601,-3.0001751765078968
pmks_positive_0010,9.3017180397619725,6.9045207851080068,-2.946702388628176,-1.7635454097692302,-4.524773231178699,-2.9306765312220033
pmks_positive_0011,9.2519825767649522,6.8747246041637586,-3.0212703889886328,-1.8117981934096035,-4.4229726438670944,-2.8593575937322688
pmks_positive_0012,9.2010185671148861,6.8441341983748032,-3.0941211642041662,-1.8588474529523744,-4.3187159075253376,-2.7862609548228807
pmks_positive_0013,9.1488549696312056,6.8127698713161644,-3.1652142724566121,-1.9046639332264443,-4.2120628649252509,-2.7114318454568549
pmks_positive_0014,9.0955214086943545,6.7806524077411616,-3.2345102977976721,-1.94921915562871,-4.1030767983713599,-2.6349182399390978
pmks_positive_0015,9.0410481566645107,6.7478030602528385,-3.3019709085037441,-1.9924854646976118,-3.9918245528616101,-2.5567709577727298
pmks_positive_0016,8.9854661153107394,6.7142435351851404,-3.3675589174628433,-2.0344360763675891,-3.8783766565973181,-2.4770437633685272
pmks_positive_0017,8.9288067962171347,6.6799959776661169,-3.4312383445401267,-2.0750451278611575,-3.7628074377108884,-2.3957934626821058
pmks_positive_0018,8.8711023001335096,6.6450829558363331,-3.4929744808488632,-2.1142877291590123,-3.6451951359735064,-2.3130799957662336
pmks_positive_0019,8.8123852952397055,6.609527444196841,-3.5527339548321,-2.1521400159710149,-3.525622008138217,-2.2289665241384147
pmks_positive_0020,8.7526889942942212,6.5733528060624389,-3.6104848000369847,-2.1885792041119831,-3.4041744254680069,-2.1435195117775416
pmks_positive_0021,8.6920471306401552,6.5365827750977559,-3.6661965244387389,-2.2235836451655278,-3.2809429618953136,-2.0568087984787575
pmks_positive_0022,8.6304939330440007,6.4992414359157991,-3.7198401811444652,-2.2571328832974804,-3.1560224711609361,-1.9689076642153669
pmks_positive_0023,8.5680640993458805,6.4613532037211847,-3.7713884402787219,-2.2892077130571757,-3.0295121511886407,-1.8798928830815087
pmks_positive_0024,8.5047927689034211,6.4229428029830071,-3.8208156618229996,-2.3197902379807025,-2.9015155938693291,-1.7898447653221199
pmks_positive_0025,8.4407154938154516,6.3840352451257747,-3.8680979691502326,-2.3488639297845566,-2.7721408183579359,-1.698847185898599
pmks_positive_0026,8.375868208916339,6.3446558052304995,-3.9132133229633204,-2.3764136879121893,-2.6415002859303671,-1.6069875979931894
pmks_positive_0027,8.3102872005368695,6.3048299977422175,-3.9561415953137908,-2.4024258991688141,-2.5097108944092983,-1.5143570298234317
pmks_positive_0028,8.2440090740332721,6.2645835511848702,-3.9968646433433754,-2.4268884971525111,-2.3768939501498827,-1.4210500631235252
pmks_positive_0029,8.1770707200922352,6.2239423818895592,-4.0353663823577106,-2.4497910211627842,-2.2431751155827904,-1.327164791654869
pmks_positive_0030,8.1095092798264847,6.1829325667477271,-4.0716328578084058,-2.4711246742396673,-2.1086843303444649,-1.2328027581341101
pmks_positive_0031,8.0413621086829252,6.1415803150068635,-4.1056523157271529,-2.4908823799611772,-1.9735557040881604,-1.1380688680196904
pmks_positive_0032,7.972666739193139,6.0999119391326451,-4.1374152711247563,-2.5090588376004801,-1.8379273791645869,-1.0430712786752441
pmks_positive_0033,7.9034608426044199,6.0579538247683846,-4.1669145738386177,-2.5256505752210754,-1.7019413614929069,-0.94792126253644149
pmks_positive_0034,7.8337821894383657,6.0157323998298473,-4.1941454712857098,-2.5406560002660057,-1.5657433181117795,-0.85273304304575426
pmks_positive_0035,7.76366860903331,5.9732741027809286,-4.2191056675545191,-2.5540754471783722,-1.4294823401091863,-0.75762360229078496
pmks_positive_0036,7.6931579481364318,5.9306053501437965,-4.2417953782498454,-2.5659112215736535,-1.2933106698792212,-0.66271245948550472
pmks_positive_0037,7.6222880286213623,5.8877525033048963,-4.2622173804890862,-2.5761676404726472,-1.1573833919452896,-0.56812141967212337
pmks_positive_0038,7.5510966044171646,5.8447418346867437,-4.2803770574387219,-2.5848510680954573,-1.0218580869211715,-0.47397429229273857
pmks_positive_0039,7.479621317744801,5.801599493363625,-4.2962824367756758,-2.5919699467130486,-0.88689444855289534,-0.380396579583552
pmks_positive_0040,7.4078996547674691,5.758351470207776,-4.3099442224604605,-2.5975348220560637,-0.75265386419434255,-0.28751513507987791
pmks_positive_0041,7.3359689007713342,5.7150235626608614,-4.3213758192187974,-2.6015583627868879,-0.61929895951226155,-0.19545779288197362
pmks_positive_0042,7.2638660950030571,5.6716413392337461,-4.3305933491453459,-2.6040553735562324,-0.48699310869020096,-0.10435296871940469
pmks_positive_0043,7.191627985300185,5.6282301038453131,-4.3376156598685789,-2.6050428011854936,-0.35589991189770259,-0.014329234257695056
pmks_positive_0044,7.1192909826594617,5.5848148601185468,-4.3424643237494802,-2.6045397335438851,-0.22618264230557117,0.074485133488153998
pmks_positive_0045,7.0468911158966101,5.5414202757589806,-4.3451636276291881,-2.6025673907239759,-0.098003665451586452,0.16196262534067074
pmks_positive_0046,6.9744639865588063,5.4980706471469007,-4.3457405526917006,-2.5991491081610878,0.028476165715072832,0.24797699302644194
pmks_positive_0047,6.9020447242577871,5.4547898642801886,-4.3442247440676924,-2.5943103113906147,0.15309813626830249,0.33240375898072116
pmks_positive_0048,6.829667942597224,5.4116013762093331,-4.3406484698734999,-2.5880784821937395,0.27570631088164532,0.41512073934449578
pmks_positive_0049,6.7573676958724764,5.3685281571097843,-4.3350465694557005,-2.5804831159434505,0.39614818674759245,0.49600857623005901
pmks_positive_0050,6.6851774367239649,5.3255926731394378,-4.3274563906951657,-2.5715556700315441,0.51427535261952284,0.57495127498712151
pmks_positive_0051,6.6131299749270971,5.2828168502303487,-4.3179177163146374,-2.5613295033310557,0.6299441483893774,0.6518367419016311
