sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,10.392304845413264,5.9999999999999991,-2.7206990463513261,-1.5707963267948959,-5.3420800854038006,-3.0842513753404228
pmks_positive_0001,10.346222078169806,5.9733941019269832,-2.8089805362906088,-1.6217656687758031,-5.251185520738991,-3.0317733739633224
pmks_positive_0002,10.298680719132602,5.9459460854892132,-2.8957215597125163,-1.6718456219982234,-5.157230315798051,-2.977528311098903
pmks_positive_0003,10.249706866078995,5.9176710182454606,-2.9808714232641425,-1.721006918641216,-5.0602529544441408,-2.9215384054159239
pmks_positive_0004,10.199327456216491,5.8885844523997282,-3.0643800956099625,-1.7692206730997413,-4.9602944152478639,-2.8638273159031491
pmks_positive_0005,10.147570254796916,5.8587024182276348,-3.1461982500397729,-1.8164584065843909,-4.8573982957414215,-2.804420213607536
pmks_positive_0006,10.094463843003048,5.8280414170827513,-3.2262773091825494,-1.8626920729369254,-4.7516109408250955,-2.7433438557697385
pmks_positive_0007,10.04003760507195,5.7966184139622534,-3.3045694918927979,-1.9078940857001323,-4.6429815749999088,-2.6806266621686698
pmks_positive_0008,9.9843217146183729,5.7644508296107411,-3.3810278623699679,-1.9520373464769241,-4.5315624380304298,-2.6162987934464632
pmks_positive_0009,9.927347120120487,5.7315565321404192,-3.4556063815642615,-1.9950952746095159,-4.417408923565163,-2.5503922311410028
pmks_positive_0010,9.8691455295295007,5.6979538281454465,-3.52825996091366,-2.0370418382044799,-4.3005797201590195,-2.4829408591052546
pmks_positive_0011,9.8097493939639726,5.6636614532878662,-3.5989445184468862,-2.0778515865238365,-4.1811369540528762,-2.4139805459411185
pmks_positive_0012,9.7491918904492003,5.6286985623321604,-3.6676170372756332,-2.1174996837555446,-4.0591463329692381,-2.3435492280198722
pmks_positive_0013,9.6875069036617347,5.5930847186054571,-3.7342356264860475,-2.1559619441692144,-3.9346772900810736,-2.2716869926026191
pmks_positive_0014,9.6247290066390718,5.5568398828602668,-3.7987595844246256,-2.1932148686542279,-3.8078031272033797,-2.1984361605119691
pmks_positive_0015,9.5608934404147714,5.519984401516794,-3.8611494643568478,-2.2292356826278095,-3.6786011561442655,-2.1238413677411634
pmks_positive_0016,9.4960360925397396,5.4825389942622174,-3.9213671424582301,-2.2640023752896123,-3.5471528370355223,-2.0479496453192025
pmks_positive_0017,9.4301934744513236,5.4445247409847202,-3.9793758880767389,-2.297493740187813,-3.4135439123425537,-1.9708104966815827
pmks_positive_0018,9.3634026976529761,5.4059630680208119,-4.035140436182945,-2.3296894170481681,-3.277864535131302,-1.892475971725186
pmks_positive_0019,9.2957014486689467,5.3668757336954087,-4.0886270618994347,-2.3605699348036286,-3.1402093900470485,-1.8130007366554546
pmks_positive_0020,9.2271279627403899,5.3272848131352841,-4.1398036569743066,-2.3901167557463183,-3.000677805338499,-1.7324421386635205
pmks_positive_0021,9.1577209962318378,5.2872126823379393,-4.1886398080348091,-2.4183123207072739,-2.8593738541418334,-1.6508602644025614
pmks_positive_0022,9.087519797719942,5.2466820014796607,-4.2351068764264257,-2.4451400951516309,-2.7164064431263593,-1.5683179911674372
pmks_positive_0023,9.0165640777399112,5.2057156974486443,-4.2791780794102356,-2.4705846160578475,-2.571889386498003,-1.4848810296205646
pmks_positive_0024,8.9448939771691123,5.1643369455912458,-4.3208285724571214,-2.4946315394303489,-2.4259414632621605,-1.4006179568526846
pmks_positive_0025,8.8725500342320291,5.1225691506622821,-4.360035532341767,-2.5172676882738578,-2.2786864555661741,-1.3156002385198871
pmks_positive_0026,8.7995731501159185,5.0804359269732267,-4.3967782407024947,-2.5384811008366666,-2.1302531658775026,-1.2299022387614253
pmks_positive_0027,8.7260045531924995,5.037961077735587,-4.4310381676951422,-2.5582610789082953,-1.9807754107094242,-1.1436012165772771
pmks_positive_0028,8.6518857618474279,4.9951685736005009,-4.4627990553309198,-2.5765982359345037,-1.8303919885856561,-1.0567773073324591
pmks_positive_0029,8.5772585459265542,4.9520825303997142,-4.4920470000496744,-2.5934845446911354,-1.6792466199426563,-0.96951348805966364
pmks_positive_0030,8.5021648868156561,4.9087271860976003,-4.5187705340418818,-2.6089133842352261,-1.5274878567055596,-0.88189552525283865
pmks_positive_0031,8.4266469361788641,4.8651268769687999,-4.5429607047956004,-2.6228795858316203,-1.3752689593469867,-0.79401190388711584
pmks_positive_0032,8.3507469733899562,4.821306013021144,-4.564611152308867,-2.635379477531496,-1.2227477393473416,-0.70595373646319504
pmks_positive_0033,8.2745073617003193,4.777289052689218,-4.5837181833745904,-2.6464109270607041,-1.0700863651268451,-0.61781465096213206
pmks_positive_0034,8.1979705031975474,4.7331004768297165,-4.6002808423143566,-2.6559733826580803,-0.91745112971364418,-0.52969065670850057
pmks_positive_0035,8.1211787926192276,4.6887647620557882,-4.6143009775106227,-2.664067911487713,-0.76501217865261861,-0.4416799872784315
