sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,-0.52359877559829882,0.20561675835602822
pmks_positive_0001,-0.0086976928435205103,-0.52010057679912713,0.2141807593621633
pmks_positive_0002,-0.017335889118200887,-0.51645895774311545,0.22282741058407474
pmks_positive_0003,-0.025912186948398197,-0.51267253049842465,0.23155792434133748
pmks_positive_0004,-0.034424161168937012,-0.50873988892715549,0.24037327027120065
pmks_positive_0005,-0.042869363056159182,-0.50465961287047578,0.24927415836440731
pmks_positive_0006,-0.051245320131112215,-0.50043027262211304,0.25826102132919132
pmks_positive_0007,-0.059549536039776335,-0.49605043370117918,0.26733399631308075
pmks_positive_0008,-0.067779490515404051,-0.49151866193472254,0.27649290602142707
pmks_positive_0009,-0.075932639428219068,-0.4868335288596653,0.28573723928181449
pmks_positive_0010,-0.084006414927871198,-0.48199361745286823,0.29506613111457297
pmks_positive_0011,-0.091998225684176899,-0.4769975281969856,0.30447834238159938
pmks_positive_0012,-0.099905457231806466,-0.4718438854884342,0.31397223909858307
pmks_positive_0013,-0.10772547242465097,-0.46653134439228527,0.32354577150945529
pmks_positive_0014,-0.11545561200568658,-0.46105859774712465,0.33319645303639894
pmks_positive_0015,-0.12309319529817978,-0.45542438362090099,0.34292133923404844
pmks_positive_0016,-0.13063552102407042,-0.44962749311650296,0.35271700689242363
pmks_positive_0017,-0.1380798682553408,-0.4436667785232839,0.36257953344954619
pmks_positive_0018,-0.14542349750408243,-0.43754116180790326,0.37250447689152855
pmks_positive_0019,-0.15266365195683887,-0.43124964343475825,0.38248685633489327
pmks_positive_0020,-0.1597975588586118,-0.42479131150290794,0.39252113350281292
pmks_positive_0021,-0.16682243105167499,-0.4181653511826986,0.40260119532366356
pmks_positive_0022,-0.17373546867402329,-0.41137105443137467,0.41272033789633278
pmks_positive_0023,-0.18053386102189756,-0.40440782996274782,0.42287125208193049
pmks_positive_0024,-0.18721478858039386,-0.39727521344156946,0.43304601099542439
pmks_positive_0025,-0.19377542522561378,-0.38997287786855539,0.44323605968301005
pmks_positive_0026,-0.20021294060122313,-0.38250064411719953,0.45343220728113692
pmks_positive_0027,-0.2065245026715869,-0.3748584915784855,0.4636246219607375
pmks_positive_0028,-0.21270728045287746,-0.36704656886449705,0.47380282896479819
pmks_positive_0029,-0.21875844692269808,-0.35906520451684287,0.48395571204843663
pmks_positive_0030,-0.2246751821078094,-0.35091491766055538,0.49407151862782328
pmks_positive_0031,-0.23045467634852282,-0.34259642853921851,0.50413786893679047
pmks_positive_0032,-0.23609413373721527,-0.33411066886206214,0.51414176947773327
pmks_positive_0033,-0.24159077572721793,-0.32545879188922211,0.5240696310356725
