sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,16.320508075688775,11.732050807568875,0.28059573815897698,-4.6747962796650331,-8.145936365968149,-3.4367877186345939
pmks_positive_0001,16.324056064679318,11.653667055732267,0.14533270336000115,-4.7308405731688259,-8.0848223464558675,-3.2879763713793473
pmks_positive_0002,16.325358381170915,11.574370052985659,0.011128416277069064,-4.7843772859882456,-8.0188923132713619,-3.1358880421572004
pmks_positive_0003,16.324433338229252,11.494202044659366,-0.12193715054954923,-4.8353523112042547,-7.9481822371970159,-2.9805844207046981
pmks_positive_0004,16.321300576617318,11.413206169141045,-0.25378465707043363,-4.8837125983874916,-7.8727320804476806,-2.8221306276617861
pmks_positive_0005,16.315981053689971,11.331426439782126,-0.38433546397513041,-4.9294062123798206,-7.7925860047338116,-2.6605954076843021
pmks_positive_0006,16.308497031121835,11.248907725797462,-0.51351170446441863,-4.9723823953500688,-7.7077925860183143,-2.4960513291616762
pmks_positive_0007,16.298872061408858,11.165695732102673,-0.6412363596540791,-5.01259163222994,-7.6184050354394026,-2.328574990031854
pmks_positive_0008,16.287130973082185,11.081836978032058,-0.76743333770769429,-5.0499857196268358,-7.5244814257590189,-2.1582472290769656
pmks_positive_0009,16.273299854571501,10.997378774878367,-0.8920275567844298,-5.0845178382989467,-7.4260849225734775,-1.9851533419635672
pmks_positive_0010,16.257406036653585,10.912369202194464,-1.014945031873923,-5.1161426292645142,-7.3232840193890247,-1.8093833011622946
pmks_positive_0011,16.239478073420813,10.82685708279584,-1.1361129655741036,-5.144816273602018,-7.2161527755211159,-1.6310319787425298
pmks_positive_0012,16.219545721703597,10.740891956402027,-1.255459842849401,-5.1704965759795964,-7.1047710556214492,-1.4501993708877867
pmks_positive_0013,16.197639918880199,10.6545240518547,-1.3729155297852866,-5.1931430519316839,-6.9892247694727807,-1.2669908228189088
pmks_positive_0014,16.17379275900738,10.567804257849927,-1.4884113763310962,-5.2127170188776795,-6.8696061105181432,-1.0815172526447823
pmks_positive_0015,16.148037467205665,10.480784092122438,-1.601880322996017,-5.2291816908511493,-6.7460137914097036,-0.89389537248444384
pmks_positive_0016,16.120408372233797,10.393515669020607,-1.7132570114329959,-5.2425022768789074,-6.6185532746741531,-0.70424790502240509
pmks_positive_0017,16.09094087718843,10.30605166541195,-1.8224778988119024,-5.2526460829175123,-6.4873369963982093,-0.51270379347236261
pmks_positive_0018,16.059671428266913,10.218445284860893,-1.9294813758468621,-5.2595826172189275,-6.3524845806408887,-0.3193984027335306
pmks_positive_0019,16.026637481533687,10.13075022002301,-2.0342078883027148,-5.2632836989587188,-6.2141230420815425,-0.12447370933288315
pmks_positive_0020,15.991877467634072,10.043020613203042,-2.1366000617623091,-5.2637235699187519,-6.0723869742168919,0.071921522442495167
pmks_positive_0021,15.955430754403221,9.955311015027771,-2.2366028293901947,-5.260879008971072,-5.9274187202292303,0.2696315810040284
pmks_positive_0022,15.917337607322869,9.8676763411895347,-2.3341635623785608,-5.2547294490621708,-5.7793685234658021,0.46849366746813104
pmks_positive_0023,15.877639147784125,9.7801718272216469,-2.4292322027089459,-5.2452570963459335,-5.6283946542996359,0.66833777833184982
pmks_positive_0024,15.836377309121154,9.6928529812730417,-2.5217613978080657,-5.232447051060614,-5.4746635099895293,0.86898661408617883
pmks_positive_0025,15.793594790388131,9.6057755348569849,-2.611706636618679,-5.2162874296891237,-5.3183496840261055,1.070255517162618
pmks_positive_0026,15.7493350078602,9.518995391556615,-2.6990263865468567,-5.1967694878850015,-5.1596360013473888,1.2719524427081179
pmks_positive_0027,15.703642044248848,9.432568573679319,-2.7836822306861686,-5.1738877435871764,-4.9987135157361466,1.4738779657527434
pmks_positive_0028,15.656560595632424,9.3465511668619996,-2.8656390046575901,-5.1476400996867868,-4.8357814656783882,1.6758253283663045
pmks_positive_0029,15.60813591611416,9.260999262640409,-2.9448649323416225,-5.1180279655503895,-4.6710471849741033,1.8775805303883368
pmks_positive_0030,15.558413760232677,9.175968899007831,-3.0213317597183007,-5.0850563766427479,-4.5047259644515574,2.0789224672586943
pmks_positive_0031,15.507440323163358,9.0915159990015386,-3.0950148859701803,-5.0487341114366391,-4.3370408612541791,2.2796231183610791
pmks_positive_0032,15.455262178763757,9.0076963073693062,-3.1658934909465564,-5.0090738047396348,-4.168222452345506,2.4794477891222106
pmks_positive_0033,15.401926215531491,8.9245653253833765,-3.2339506580327129,-4.966092056517085,-3.9985085291217635,2.6781554098727876
pmks_positive_0034,15.347479570559578,8.8421782438850087,-3.2991734914189603,-4.919809535241864,-3.8281437303343755,2.8754988941744397
pmks_positive_0035,15.291969561591213,8.7605898746590043,-3.3615532267205381,-4.8702510747603389,-3.6573791109116121,3.0712255589424506
pmks_positive_0036,15.235443617293766,8.6798545802552383,-3.4210853338632212,-4.8174457636274495,-3.4864716447303126,3.2650776082481157
