matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0000,matlab_sweep_00,0,1.5707963267948966,1,1.3496991988530846,eligible,pmks_positive_0000,matched,
matlab_0001,matlab_sweep_00,1,1.5882496193148399,1,1.3496794587517265,eligible,pmks_positive_0001,matched,
matlab_0002,matlab_sweep_00,2,1.6057029118347832,1,1.3496203139285929,eligible,pmks_positive_0002,matched,
matlab_0003,matlab_sweep_00,3,1.6231562043547265,1,1.3495219907631772,eligible,pmks_positive_0003,matched,
matlab_0004,matlab_sweep_00,4,1.6406094968746701,1,1.3493848663432684,eligible,pmks_positive_0004,matched,
matlab_0005,matlab_sweep_00,5,1.6580627893946132,1,1.349209468147103,eligible,pmks_positive_0005,matched,
matlab_0006,matlab_sweep_00,6,1.6755160819145567,1,1.3489964735967077,eligible,pmks_positive_0006,matched,
matlab_0007,matlab_sweep_00,7,1.6929693744344998,1,1.3487467094807855,eligible,pmks_positive_0007,matched,
matlab_0008,matlab_sweep_00,8,1.7104226669544433,1,1.3484611512449363,eligible,pmks_positive_0008,matched,
matlab_0009,matlab_sweep_00,9,1.7278759594743864,1,1.3481409221464755,eligible,pmks_positive_0009,matched,
matlab_0010,matlab_sweep_00,10,1.7453292519943298,1,1.3477872922705387,eligible,pmks_positive_0010,matched,
matlab_0011,matlab_sweep_00,11,1.7627825445142731,1,1.3474016774035453,eligible,pmks_positive_0011,matched,
matlab_0012,matlab_sweep_00,12,1.7802358370342166,1,1.3469856377594387,eligible,pmks_positive_0012,matched,
matlab_0013,matlab_sweep_00,13,1.7976891295541597,1,1.3465408765534421,eligible,pmks_positive_0013,matched,
matlab_0014,matlab_sweep_00,14,1.815142422074103,1,1.3460692384173376,eligible,pmks_positive_0014,matched,
matlab_0015,matlab_sweep_00,15,1.8325957145940466,1,1.345572707649517,eligible,pmks_positive_0015,matched,
matlab_0016,matlab_sweep_00,16,1.8500490071139899,1,1.3450534062922623,eligible,pmks_positive_0016,matched,
matlab_0017,matlab_sweep_00,17,1.867502299633933,1,1.344513592027899,eligible,pmks_positive_0017,matched,
matlab_0018,matlab_sweep_00,18,1.8849555921538765,1,1.3439556558846384,eligible,pmks_positive_0018,matched,
matlab_0019,matlab_sweep_00,19,1.9024088846738196,1,1.3433821197420972,eligible,pmks_positive_0019,matched,
matlab_0020,matlab_sweep_00,20,1.919862177193763,1,1.3427956336256728,eligible,pmks_positive_0020,matched,
matlab_0021,matlab_sweep_00,21,1.9373154697137063,1,1.342198972778152,eligible,pmks_positive_0021,matched,
matlab_0022,matlab_sweep_00,22,1.9547687622336498,1,1.3415950344962422,eligible,pmks_positive_0022,matched,
matlab_0023,matlab_sweep_00,23,1.9722220547535929,1,1.3409868347190077,eligible,pmks_positive_0023,matched,
matlab_0024,matlab_sweep_00,24,1.9896753472735365,1,1.3403775043547168,eligible,pmks_positive_0024,matched,
matlab_0025,matlab_sweep_00,25,2.0071286397934793,1,1.3397702853321281,eligible,pmks_positive_0025,matched,
matlab_0026,matlab_sweep_00,26,2.0245819323134224,1,1.3391685263620885,eligible,pmks_positive_0026,matched,
matlab_0027,matlab_sweep_00,27,2.0420352248333655,1,1.3385756783952032,eligible,pmks_positive_0027,matched,
matlab_0028,matlab_sweep_00,28,2.0594885173533086,1,1.3379952897616323,eligible,pmks_positive_0028,matched,
matlab_0029,matlab_sweep_00,29,2.0769418098732517,1,1.3374310009795172,eligible,pmks_positive_0029,matched,
