sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,0,0.36681679210407969
matlab_0001,5.094537492289497e-05,0.0061132767846952792,0.36675623881414093
matlab_0002,0.0002037646805671256,0.012224535422510485,0.36657463224040354
matlab_0003,0.00045840747436033669,0.018331759542245696,0.36627213211708975
matlab_0004,0.00081478973464202409,0.024432936318931623,0.36584900415524918
matlab_0005,0.0012727939344546746,0.03052605823414474,0.36530561927633082
matlab_0006,0.0018322691445525757,0.036609124821030244,0.36464245254426553
matlab_0007,0.0024930311653324488,0.042680144389047978,0.36386008180109919
matlab_0008,0.0032548626873069447,0.048737135723552094,0.36295918601258598
matlab_0009,0.0041175134796612306,0.054778129755433093,0.36194054333148418
matlab_0010,0.0050807006063555288,0.060801171196190738,0.36080502888756139
matlab_0011,0.0061441086691593899,0.066804320133966436,0.35955361231452571
matlab_0012,0.007307390076931139,0.072785653586243504,0.35818735502522514
matlab_0013,0.0085701653403865569,0.078743267005121631,0.35670740724750816
matlab_0014,0.0099320233915322631,0.084675275731286886,0.35511500483410019
matlab_0015,0.011392521926879756,0.090579816393027729,0.35341146586071498
matlab_0016,0.012951187773494036,0.096455048246891786,0.35159818702739026
matlab_0017,0.014607517276878423,0.10229915445683364,0.34967663987870268
matlab_0018,0.016360976709645481,0.10811034330896882,0.34764836685907891
matlab_0019,0.018211002699879159,0.11388684935932447,0.34551497721987362
matlab_0020,0.020157002678051331,0.11962693451225734,0.34327814279523283
matlab_0021,0.022198355341319413,0.12532888902749575,0.34093959366400239
matlab_0022,0.024334411134001546,0.13099103245405105,0.33850111371507335
matlab_0023,0.026564492742996423,0.13661171448953477,0.33596453613358895
matlab_0024,0.028887895606895753,0.14218931576370664,0.33333173882536449
matlab_0025,0.031303888437517517,0.14772224854536778,0.33060463979670685
matlab_0026,0.033811713752578153,0.15320895737199711,0.32778519250655674
matlab_0027,0.036410588418211993,0.1586479196018078,0.32487538120753118
matlab_0028,0.039099704200044876,0.16403764588817454,0.32187721629201094
matlab_0029,0.041878228321529223,0.16937668057664684,0.31879272965891609
matlab_0030,0.044745304028253767,0.17466360202501963,0.31562397011623206
matlab_0031,0.047700051156952,0.17989702284717593,0.31237299883371616
matlab_0032,0.050741566707945156,0.18507559008165947,0.30904188485952117
matlab_0033,0.0538689254197759,0.19019798528614307,0.30563270071373022
matlab_0034,0.057081180344808538,0.19526292455918517,0.30214751807102042
matlab_0035,0.060377363424596424,0.20026915849085267,0.29858840354385707
matlab_0036,0.063756486063846013,0.20521547204397489,0.29495741457678165
matlab_0037,0.067217539701836915,0.2101006843679635,0.29125659546150268
matlab_0038,0.070759496380191453,0.2149236485472851,0.28748797348162397
matlab_0039,0.074381309305923043,0.21968325128681634,0.28365355519497948
matlab_0040,0.07808191340873058,0.2243784125364342,0.2797553228606654
matlab_0041,0.081860225891546595,0.2290080850573061,0.27579523101700243
matlab_0042,0.085715146773389317,0.23357125393244249,0.2717752032158085
matlab_0043,0.089645559423610383,0.23806693602415502,0.26769712891753167
matlab_0044,0.093650331086677141,0.24249417938113363,0.26356286055098838
matlab_0045,0.097728313396671873,0.2468520625979127,0.25937421074066969
matlab_0046,0.10187834288073849,0.25113969412953802,0.2551329497038361
matlab_0047,0.10609924145075308,0.25535621156427679,0.25084080281890647
matlab_0048,0.11038981688254362,0.25950078085723588,0.24649944836597693
matlab_0049,0.11474886328203031,0.26357259552775736,0.24211051543967407
matlab_0050,0.1191751615377077,0.2675708758234624,0.23767558203395761
matlab_0051,0.12366747975893606,0.27149486785380222,0.2331961732979464
matlab_0052,0.12822457369955712,0.27534384269595474,0.22867375996134354
matlab_0053,0.13284518716639795,0.27911709547587887,0.22410975692758731
matlab_0054,0.13752805241227067,0.28281394442730451,0.21950552203245111
matlab_0055,0.14227189051312428,0.28643372993139171,0.21486235496546191
matlab_0056,0.14707541172904798,0.28997581353975077,0.2101814963511979
matlab_0057,0.15193731584887188,0.29343957698346174,0.20546412698726541
matlab_0058,0.15685629251815186,0.29682442117067409,0.20071136723554014
matlab_0059,0.16183102155037093,0.30012976517531359,0.19592427656308736
matlab_0060,0.16686017322122804,0.30335504521935996,0.19110385322905038
matlab_0061,0.17194240854592868,0.30649971365109457,0.1862510341137095
matlab_0062,0.1770763795394284,0.30956323792165941,0.18136669468587399
matlab_0063,0.18226072945962091,0.3125450995621965,0.17645164910476002
matlab_0064,0.18749409303349918,0.31544479316378082,0.17150665045254382
matlab_0065,0.19277509666635279,0.31826182536229131,0.16653239109384316
matlab_0066,0.19810235863410297,0.32099571383030628,0.16152950315848211
matlab_0067,0.20347448925890801,0.32364598627804692,0.15649855914402341
matlab_0068,0.208890091068207,0.32621217946533826,0.15144007263471318
matlab_0069,0.21434775893740138,0.32869383822650022,0.14635449913366835
matlab_0070,0.2198460802164055,0.33109051451003141,0.14124223700534719
matlab_0071,0.22538363484032775,0.33340176643490105,0.13610362852557578
matlab_0072,0.2309589954245736,0.33562715736521964,0.13093896103665659
matlab_0073,0.23657072734469248,0.33776625500502228,0.1257484682053531
matlab_0074,0.24221738880131632,0.33981863051486161,0.12053233138183292
