sample_id,x,y,vx,vy,ax,ay
matlab_0000,6,7,-4.1887902047863905,0,-1.1004503763122391,-2.1855900923041247
matlab_0001,5.9300375303398711,6.9996964489818208,-4.2064939307386933,-0.036425742803405069,-1.0240502283661423,-2.1854535125821757
matlab_0002,5.8597905945923925,6.9987858338712563,-4.2229270580483735,-0.072846931712652413,-0.94798226511456496,-2.1850435508222743
matlab_0003,5.7892803222410834,6.9972682685620136,-4.2380953067305924,-0.10925900541755755,-0.87226835733005825,-2.1843595399216853
matlab_0004,5.718527744443211,6.9951439430828097,-4.2520047532222778,-0.14565738779851278,-0.79692940443491045,-2.1834003703041533
matlab_0005,5.6475537882244291,6.9924131239055054,-4.2646618141783978,-0.18203748057824903,-0.72198533313218705,-2.1821644933016655
matlab_0006,5.5763792709435496,6.9890761543751765,-4.276073230264287,-0.21839465604107919,-0.64745509829922654,-2.1806499258675025
matlab_0007,5.5050248950272431,6.9851334552608293,-4.2862460499815169,-0.25472424984164393,-0.57335668611088841,-2.178854256599442
matlab_0008,5.4335112429737498,6.9805855254250559,-4.2951876135640985,-0.29102155392477885,-0.49970711935030088,-2.1767746530460932
matlab_0009,5.3618587726241502,6.975432942610639,-4.3029055369810898,-0.32728180957762371,-0.42652246485565959,-2.1744078702637979
matlab_0010,5.290087812699138,6.9696763643416872,-4.3094076960806902,-0.36350020063450855,-0.35381784304276132,-2.1717502605861303
matlab_0011,5.2182185585986458,6.9633165289366321,-4.3147022109098847,-0.39967184685447366,-0.28160743943458633,-2.1687977845629525
matlab_0012,5.1462710684610977,6.9563542566300125,-4.3187974302424328,-0.43579179749052466,-0.20990451812130551,-2.1655460230211632
matlab_0013,5.074265259478592,6.9487904507997227,-4.3217019163467096,-0.47185502506888777,-0.13872143706675377,-2.1619901901948184
matlab_0014,5.0022209044637371,6.9406260992960593,-4.3234244300234135,-0.50785641939562087,-0.068069665170610527,-2.158125147868192
matlab_0015,4.9301576286634115,6.9318622758686592,-4.3239739159415986,-0.54379078180697005,0.0020401990105933798,-2.1539454204716182
matlab_0016,4.8580949068142552,6.9225001416871184,-4.3233594882998512,-0.57965281967882276,0.071598406986030039,-2.1494452110666264
matlab_0017,4.7860520604342494,6.9125409469508625,-4.3215904168376467,-0.61543714120953363,0.14059603860386871,-2.1446184181539949
matlab_0018,4.7140482553443563,6.901986032583606,-4.3186761132201248,-0.65113825048926344,0.2090249789865779,-2.1394586532358373
matlab_0019,4.6421024994138369,6.8908368320075049,-4.3146261178176317,-0.68675054286781256,0.27687789424289222,-2.1339592590608323
matlab_0020,4.5702336405224617,6.8790948729919634,-4.3094500868994503,-0.72226830063173331,0.34414820607372976,-2.128113328480107
matlab_0021,4.4984603647325958,6.8667617795718314,-4.3031577802591467,-0.75768568900028266,0.41083006539128353,-2.1219137238401187
matlab_0022,4.4268011946638275,6.8538392740296352,-4.2957590492869926,-0.79299675244854961,0.4769183250716873,-2.1153530968381826
matlab_0023,4.3552744880625545,6.8403291789362921,-4.2872638255028885,-0.8281954113648462,0.54240851196217688,-2.1084239087660133
matlab_0024,4.2838984365587844,6.8262334192447325,-4.2776821095612076,-0.86327545904820568,0.6072967982634212,-2.1011184510668013
matlab_0025,4.2126910646021845,6.8115540244306736,-4.2670239607369762,-0.89823055905059634,0.67157997240686251,-2.093428866131867
matlab_0026,4.1416702285692883,6.7962931306748082,-4.2552994869008138,-0.93305424286723804,0.73525540954535229,-2.0853471682639348
matlab_0027,4.0708536160336894,6.7804529830805684,-4.2425188349881182,-0.96773990797719378,0.79832104177325713,-2.0768652647353347
matlab_0028,4.0002587451909291,6.7640359379216157,-4.228692181966033,-1.0022808162352348,0.86077532818949987,-2.0679749768711457
matlab_0029,3.9299029644297736,6.7470444649131949,-4.2138297262999194,-1.0366700926148282,0.92261722491373988,-2.0586680610892882
matlab_0030,3.8598034520415467,6.7294811495015665,-4.197941679919202,-1.0709007243009725,0.98384615516215557,-2.0489362298318561
matlab_0031,3.7899772160592375,6.7113486951655883,-4.1810382606807286,-1.1049655601305488,1.0444619794851306,-2.0387711723245845
matlab_0032,3.7204410942180712,6.6926499257248118,-4.1631296853261661,-1.1388573103767952,1.1044649662644628,-2.0281645751041615
matlab_0033,3.6512117540293869,6.6733877876482994,-4.1442261629282715,-1.1725685468735907,1.1638557625628432,-2.0171081422561388
matlab_0034,3.5823056929597112,6.6535653523585907,-4.1243378888194711,-1.2060917034742296,1.2226353654129838,-2.0055936153094405
matlab_0035,3.5137392387070636,6.6331858185252646,-4.1034750389947199,-1.2394190768385644,1.2808050936282982,-1.9936127927368659
matlab_0036,3.4455285495666517,6.6122525143427016,-4.081647764979297,-1.2725428275415438,1.3383665602112278,-1.9811575490145297
matlab_0037,3.3776896148783018,6.5907688997867506,-4.0588661891509981,-1.3054549814954262,1.3953216454293802,-1.9682198531968003
matlab_0038,3.3102382555481547,6.5687385688451174,-4.0351404005050382,-1.3381474316772606,1.4516724706235931,-1.9547917869670395
matlab_0039,3.2431901246373349,6.5461652517165021,-4.0104804508489833,-1.3706119401525925,1.5074213728058654,-1.9408655621281949
matlab_0040,3.1765607080105527,6.5230528169735891,-3.9848963514141027,-1.4028401403857882,1.5625708800989342,-1.9264335375011201
matlab_0041,3.1103653250378116,6.4994052736852295,-3.9583980698687316,-1.4348235398268592,1.6171236880630397,-1.9114882352022566
matlab_0042,3.0446191293426548,6.4752267734932563,-3.9309955277185065,-1.4665535227642343,1.6710826369493159,-1.8960223562761156
matlab_0043,2.9793371095906069,6.4505216126396343,-3.902698598077766,-1.4980213534325604,1.724450689913118,-1.8800287956617345
matlab_0044,2.9145340903118009,6.4252942339397583,-3.87351710379586,-1.5292181793642563,1.7772309122146113,-1.8635006564759113
matlab_0045,2.8502247327519901,6.3995492286979259,-3.8434608159217358,-1.5601350349733416,1.8294264514281342,-1.8464312635996658
matlab_0046,2.7864235357464091,6.3732913385612662,-3.812539452489859,-1.5907628453598253,1.8810405186760855,-1.8288141765578407
