sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,0,0.36681679210407969
pmks_positive_0001,5.0945374922881093E-05,0.0061132767846952809,0.36675623881414088
pmks_positive_0002,0.00020376468056726438,0.012224535422510487,0.36657463224040371
pmks_positive_0003,0.00045840747436032281,0.018331759542245703,0.36627213211708981
pmks_positive_0004,0.00081478973464198245,0.024432936318931626,0.36584900415524924
pmks_positive_0005,0.0012727939344547717,0.03052605823414474,0.36530561927633076
pmks_positive_0006,0.0018322691445526729,0.036609124821030251,0.36464245254426553
pmks_positive_0007,0.0024930311653325876,0.042680144389047985,0.36386008180109924
pmks_positive_0008,0.0032548626873070141,0.048737135723552108,0.36295918601258609
pmks_positive_0009,0.0041175134796613833,0.0547781297554331,0.36194054333148418
pmks_positive_0010,0.0050807006063555565,0.060801171196190752,0.36080502888756144
pmks_positive_0011,0.0061441086691593622,0.066804320133966449,0.35955361231452576
pmks_positive_0012,0.007307390076931139,0.072785653586243504,0.35818735502522514
pmks_positive_0013,0.0085701653403866818,0.078743267005121631,0.35670740724750816
pmks_positive_0014,0.0099320233915323186,0.084675275731286928,0.3551150048341003
pmks_positive_0015,0.01139252192687977,0.090579816393027757,0.35341146586071509
pmks_positive_0016,0.012951187773494022,0.0964550482468918,0.35159818702739032
pmks_positive_0017,0.014607517276878479,0.10229915445683367,0.34967663987870273
pmks_positive_0018,0.016360976709645536,0.10811034330896885,0.34764836685907902
pmks_positive_0019,0.018211002699879145,0.11388684935932451,0.34551497721987373
pmks_positive_0020,0.020157002678051317,0.11962693451225737,0.34327814279523294
pmks_positive_0021,0.022198355341319406,0.12532888902749578,0.34093959366400245
pmks_positive_0022,0.024334411134001574,0.13099103245405108,0.33850111371507341
pmks_positive_0023,0.026564492742996416,0.1366117144895348,0.33596453613358901
pmks_positive_0024,0.028887895606895857,0.14218931576370664,0.33333173882536454
pmks_positive_0025,0.031303888437517607,0.14772224854536783,0.33060463979670696
pmks_positive_0026,0.033811713752578174,0.15320895737199716,0.32778519250655686
pmks_positive_0027,0.036410588418211987,0.15864791960180782,0.32487538120753118
pmks_positive_0028,0.039099704200044945,0.16403764588817454,0.32187721629201094
pmks_positive_0029,0.041878228321529327,0.1693766805766469,0.31879272965891614
pmks_positive_0030,0.044745304028253947,0.17466360202501943,0.31562397011623211
pmks_positive_0031,0.04770005115695207,0.17989702284717596,0.31237299883371622
pmks_positive_0032,0.050741566707945142,0.18507559008165952,0.30904188485952122
pmks_positive_0033,0.053868925419775934,0.19019798528614315,0.30563270071373033
pmks_positive_0034,0.057081180344808573,0.19526292455918526,0.30214751807102058
pmks_positive_0035,0.060377363424596528,0.20026915849085272,0.29858840354385713
pmks_positive_0036,0.063756486063845957,0.20521547204397494,0.29495741457678171
pmks_positive_0037,0.067217539701837054,0.21010068436796353,0.29125659546150273
pmks_positive_0038,0.070759496380191633,0.21492364854728513,0.28748797348162403
pmks_positive_0039,0.074381309305923113,0.21968325128681643,0.28365355519497965
pmks_positive_0040,0.078081913408730691,0.2243784125364342,0.27975532286066546
pmks_positive_0041,0.081860225891546595,0.22900808505730616,0.27579523101700254
pmks_positive_0042,0.085715146773389178,0.23357125393244257,0.2717752032158085
pmks_positive_0043,0.089645559423610285,0.23806693602415507,0.26769712891753172
pmks_positive_0044,0.093650331086677169,0.24249417938113363,0.26356286055098838
pmks_positive_0045,0.097728313396671762,0.24685206259791273,0.25937421074066974
pmks_positive_0046,0.10187834288073838,0.25113969412953807,0.25513294970383621
pmks_positive_0047,0.10609924145075308,0.25535621156427679,0.25084080281890647
pmks_positive_0048,0.11038981688254366,0.25950078085723594,0.24649944836597698
pmks_positive_0049,0.11474886328203013,0.26357259552775747,0.24211051543967416
pmks_positive_0050,0.11917516153770769,0.26757087582346251,0.23767558203395769
pmks_positive_0051,0.12366747975893608,0.27149486785380234,0.23319617329794642
pmks_positive_0052,0.12822457369955706,0.2753438426959548,0.22867375996134362
pmks_positive_0053,0.13284518716639782,0.27911709547587898,0.22410975692758736
pmks_positive_0054,0.13752805241227059,0.28281394442730462,0.21950552203245111
pmks_positive_0055,0.14227189051312417,0.28643372993139171,0.21486235496546197
pmks_positive_0056,0.14707541172904803,0.28997581353975088,0.21018149635119801
pmks_positive_0057,0.15193731584887193,0.29343957698346185,0.20546412698726549
pmks_positive_0058,0.15685629251815181,0.29682442117067409,0.20071136723554017
pmks_positive_0059,0.16183102155037088,0.30012976517531365,0.19592427656308739
pmks_positive_0060,0.16686017322122801,0.30335504521935991,0.19110385322905035
pmks_positive_0061,0.17194240854592865,0.30649971365109463,0.18625103411370952
pmks_positive_0062,0.17707637953942834,0.30956323792165952,0.18136669468587407
pmks_positive_0063,0.1822607294596208,0.31254509956219656,0.17645164910476005
pmks_positive_0064,0.18749409303349918,0.31544479316378082,0.17150665045254382
pmks_positive_0065,0.19277509666635279,0.31826182536229142,0.16653239109384319
pmks_positive_0066,0.19810235863410286,0.3209957138303064,0.16152950315848214
pmks_positive_0067,0.20347448925890799,0.32364598627804703,0.15649855914402344
pmks_positive_0068,0.208890091068207,0.32621217946533837,0.15144007263471321
pmks_positive_0069,0.21434775893740138,0.32869383822650033,0.14635449913366841
pmks_positive_0070,0.2198460802164055,0.33109051451003146,0.14124223700534719
pmks_positive_0071,0.22538363484032775,0.3334017664349011,0.13610362852557584
pmks_positive_0072,0.2309589954245736,0.33562715736521964,0.13093896103665659
pmks_positive_0073,0.23657072734469242,0.33776625500502233,0.1257484682053531
pmks_positive_0074,0.24221738880131638,0.33981863051486166,0.12053233138183296
pmks_positive_0075,0.24789753087056865,0.34178385765188019,0.11529068105794843
pmks_positive_0076,0.2536096975403479,0.34366151193500521,0.11002359842354524
pmks_positive_0077,0.25935242573291917,0.34545116983689284,0.10473111701980838
pmks_positive_0078,0.26512424531427053,0.34715240800423064,0.099413224488980864
pmks_positive_0079,0.27092367909072501,0.34876480250800362,0.094069864420121815
pmks_positive_0080,0.27674924279331314,0.35028792812532245,0.088700938290902726
pmks_positive_0081,0.28259944505045542,0.35172135765441748,0.083306307505776306
pmks_positive_0082,0.28847278734951121,0.35306466126440994,0.077885795531181912
pmks_positive_0083,0.29436776398779396,0.35431740588148464,0.072439190128780681
pmks_positive_0084,0.30028286201367083,0.35547915461311003,0.066966245688034137
pmks_positive_0085,0.30621656115839224,0.35654946621197248,0.061466685659750823
pmks_positive_0086,0.31216733375933292,0.35752789458132489,0.055940205092528825
pmks_positive_0087,0.31813364467534333,0.35841398832348176,0.050386473274305552
pmks_positive_0088,0.32411395119494912,0.3592072903332329,0.044805136481498545
pmks_positive_0089,0.33010670293816102,0.35990733743799214,0.039195820838469939
pmks_positive_0090,0.33611034175268939,0.3605136600865429,0.033558135290275258
pmks_positive_0091,0.34212330160538817,0.36102578208829555,0.027891674691859106
pmks_positive_0092,0.3481440084697911,0.36144322040502547,0.022196023017034768
pmks_positive_0093,0.35417088021062337,0.36176548499711536,0.0164707566907215
pmks_positive_0094,0.36020232646622441,0.36199207872638745,0.010715448048023306
pmks_positive_0095,0.36623674852983301,0.36212249731766927,0.0049296689237906472
pmks_positive_0096,0.37227253923074044,0.3621562293812981,-0.00088700562366824959
pmks_positive_0097,0.37830808281633965,0.36209275649883033,-0.0067349934510919415
pmks_positive_0098,0.38434175483614652,0.3619315533742829,-0.012614701327431754
pmks_positive_0099,0.39037192202890525,0.36167208805328871,-0.018526520786265963
pmks_positive_0100,0.39639694221392729,0.36131382221260855,-0.024470823830250881
pmks_positive_0101,0.4024151641878615,0.3608562115224892,-0.030447958484668851
pmks_positive_0102,0.40842492762812554,0.36029870608440367,-0.036458244197478798
pmks_positive_0103,0.41442456300428221,0.35964075094675307,-0.042501967083696891
pmks_positive_0104,0.42041239149867443,0.35888178670113713,-0.048579375012445948
pmks_positive_0105,0.42638672493769247,0.35802125016182695,-0.054690672535608532
pmks_positive_0106,0.43234586573507339,0.35705857513108252,-0.060836015657717381
pmks_positive_0107,0.43828810684869196,0.35599319325295986,-0.067015506447512113
pmks_positive_0108,0.44421173175233647,0.35482453495823607,-0.073229187492498238
pmks_positive_0109,0.45011501442401025,0.35355203050305128,-0.079477036198863274
pmks_positive_0110,0.45599621935234463,0.35217511110381761,-0.085758958940242047
pmks_positive_0111,0.46185360156274347,0.35069321017087546,-0.092074785060086248
pmks_positive_0112,0.46768540666493053,0.34910576464328902,-0.098424260733780702
pmks_positive_0113,0.47348987092360151,0.34741221642705683,-0.10480704269817155
pmks_positive_0114,0.47926522135392347,0.34561201393887137,-0.11122269185782738
pmks_positive_0115,0.48500967584365484,0.34370461375739175,-0.11767066677914653
pmks_positive_0116,0.49072144330369866,0.34168948238379421,-0.12415031708535565
pmks_positive_0117,0.49639872384891537,0.33956609811312799,-0.13066087676751176
pmks_positive_0118,0.50203970901106154,0.337333953017736,-0.13720145742882447
pmks_positive_0119,0.5076425819857231,0.33499255504369085,-0.14377104148195072
