sample_id,x,y,vx,vy,ax,ay
matlab_0000,0,4,-4.1887902047863905,0,0,-4.3864908449286029
matlab_0001,-0.069809625749133908,3.9993907806255651,-4.1881522317493411,-0.073104469134443975,0.076554821059116984,-4.3858227611264757
matlab_0002,-0.13959798681000382,3.997563308076383,-4.186238506970958,-0.14618666993941093,0.15308632277813639,-4.3838187132248878
matlab_0003,-0.20934382497177537,3.9945181390182953,-4.1830496133903496,-0.21922434086857231,0.22957119292025713,-4.3804793116762486
matlab_0004,-0.27902589497650132,3.9902562010392968,-4.1785865223753902,-0.29219523393983121,0.30598613345310821,-4.3758055736946151
matlab_0005,-0.34862297099063294,3.9847787923669822,-4.1728505934268396,-0.36507712151227328,0.3823078676455553,-4.369798922945856
matlab_0006,-0.41811385307061422,3.9780875814730932,-4.165843573764219,-0.43784780305692123,0.45851314715801805,-4.3624611891139731
matlab_0007,-0.48747737362059035,3.9701846065652879,-4.1575675977935971,-0.51048511191923107,0.53457875912413988,-4.3537946073437759
matlab_0008,-0.55669240384026231,3.961072274966281,-4.1480251864574251,-0.5829669220712701,0.61048153322165177,-4.3438018175600259
matlab_0009,-0.62573786016092414,3.9507533623805506,-4.1372192464666373,-0.65527115485151877,0.68619834873027696,-4.3324858636632957
matlab_0010,-0.6945927106677221,3.9392310120488321,-4.1251530694152319,-0.72737578569024541,0.76170614157452621,-4.3198501926027593
matlab_0011,-0.76323598150617999,3.9265087337906555,-4.1118303307776278,-0.79925885081840342,0.83698191134923883,-4.3058986533262278
matlab_0012,-0.83164676327103826,3.9125904029352223,-4.0972550887890744,-0.8708984539580078,0.9120027283257286,-4.2906354956077166
matlab_0013,-0.89980421737546101,3.8974802591409405,-4.0814317832094735,-0.94227277299195378,0.98674574043640151,-4.2740653687529235
matlab_0014,-0.96768758239867192,3.8811829051039854,-4.0643652339709906,-1.013360066611245,1.0611881802357168,-4.2561933201830078
matlab_0015,-1.0352761804100843,3.8637033051562728,-4.0460606397098493,-1.0841386809376072,1.1353073718353717,-4.2370247938970937
matlab_0016,-1.102549423267998,3.8450467837532751,-4.0265235761827833,-1.1545870561194684,1.209080737811596,-4.2165656288139779
matlab_0017,-1.1694868188909482,3.8252190238521413,-4.005759994568602,-1.2246837328992999,1.2824858060824549,-4.1948220569935364
matlab_0018,-1.2360679774997911,3.8042260651806137,-3.983776219655407,-1.2944073591503125,1.3555002167530621,-4.1718007017383814
matlab_0019,-1.3022726178286281,3.7820743023972669,-3.9605789479139983,-1.363736696380522,1.4281017289266207,-4.1475085755763361
matlab_0020,-1.3680805733026764,3.7587704831436328,-3.9361752454580645,-1.4326506262022001,1.5002682274792161,-4.1219530781243519
matlab_0021,-1.4334717981812028,3.7343217059888065,-3.9105725458917791,-1.501128156764739,1.5719777297962969,-4.095141993834515
matlab_0022,-1.4984263736636498,3.7087354182671488,-3.8837786480454475,-1.5691484291489721,1.6432083924687915,-4.0670834896228252
matlab_0023,-1.5629245139570969,3.6820194138097606,-3.855801713599913,-1.6366907237210044,1.7139385179468229,-4.0377861123814736
matlab_0024,-1.6269465723032026,3.6541818305704026,-3.8266502646004259,-1.703734466443612,1.7841465611489924,-4.0072587863753784
matlab_0025,-1.6904730469627989,3.6252311481465993,-3.7963331808607488,-1.770259235143294,1.8538111360252194,-3.9755108105237662
matlab_0026,-1.7534845871563101,3.5951761851966677,-3.764859697258276,-1.8362447657310648,1.9229110220711412,-3.9425518555676304
matlab_0027,-1.815961998958187,3.5640260967534716,-3.7322394009210038,-1.9016709583750917,1.9914251707920829,-3.9083919611239319
matlab_0028,-1.8778862511435621,3.5317903714357084,-3.6984822283071956,-1.9665178836232973,2.0593327121146325,-3.8730415326274308
matlab_0029,-1.9392384809853465,3.4984788285575839,-3.6635984621786433,-2.0307657884740644,2.1266129607438682,-3.8365113381610962
matlab_0030,-1.9999999999999978,3.4641016151377562,-3.627598728468437,-2.094395102393193,2.1932454224642992,-3.7988125051760386
