sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,0,0.74145228018381881
matlab_0001,0.00010297597324943064,0.012356695609162954,0.7413006609282794
matlab_0002,0.00041186178462310208,0.024708339183419664,0.74084615235449869
matlab_0003,0.00092653120595523331,0.037049890318087919,0.74008980032482996
matlab_0004,0.0016467741796870328,0.049376331811816235,0.73903334223846706
matlab_0005,0.0025722973012812511,0.06168268112598136,0.73767919852948727
matlab_0006,0.0037027244912915536,0.073964001674829513,0.73603046087356416
matlab_0007,0.0050375978538145239,0.086215413892362397,0.73409087721095312
matlab_0008,0.0065763787171667365,0.098432106023999003,0.7318648337214696
matlab_0009,0.0083184488517836219,0.11060934459352788,0.72935733391342872
matlab_0010,0.010263111859536517,0.12274248449876705,0.7265739750125163
matlab_0011,0.012409594727912643,0.13482697869263202,0.72352092185807138
matlab_0012,0.014757049541813588,0.14685838740992874,0.72020487853295678
matlab_0013,0.017304555345096756,0.15883238690409546,0.71663305796897414
matlab_0014,0.020051120143422696,0.17074477766225782,0.71281314978242583
matlab_0015,0.022995683039479742,0.18259149207129075,0.70875328660390957
matlab_0016,0.026137116491240037,0.19436860151203558,0.70446200917269619
matlab_0017,0.029474228683556175,0.20607232286336119,0.69994823046913868
matlab_0018,0.033005766003142839,0.21769902440231442,0.69522119915855318
matlab_0019,0.036730415606794076,0.22924523109114661,0.69029046261704674
matlab_0020,0.040646808072572926,0.24070762924646349,0.68516582980399765
matlab_0021,0.044753520123664278,0.25208307059009188,0.67985733423754668
matlab_0022,0.049049077414614811,0.2633685756854442,0.67437519731876605
matlab_0023,0.053531957369774646,0.27456133676715222,0.66872979223740081
matlab_0024,0.058200592063922196,0.28565871997550274,0.66293160867751966
matlab_0025,0.063053371135270833,0.29665826701071679,0.65699121852535436
matlab_0026,0.068088644721337951,0.30755769622534174,0.65091924276436552
matlab_0027,0.073304726408482568,0.31835490317595988,0.64472631972443528
matlab_0028,0.078699896186296817,0.32904796065804354,0.63842307483336669
matlab_0029,0.084272403398451143,0.33963511825009773,0.63202009199984177
matlab_0030,0.090020469682046397,0.35011480139522599,0.62552788673792648
matlab_0031,0.095942291888010817,0.36048561004992824,0.61895688112437786
matlab_0032,0.10203604497558505,0.37074631693131799,0.61231738066161512
matlab_0033,0.10829988487447176,0.38089586539499065,0.60561955310149029
matlab_0034,0.11473195130876727,0.39093336697657632,0.59887340926811006
matlab_0035,0.12133037057734883,0.40085809863049626,0.59208878590207037
matlab_0036,0.12809325828595242,0.41066949969969746,0.58527533053370961
matlab_0037,0.13501872202673895,0.42036716865015139,0.5784424883794631
matlab_0038,0.14210486400170852,0.42995085960369894,0.57159949124318954
matlab_0039,0.14934978358687953,0.43942047870243217,0.5647553483935045
matlab_0040,0.1567515798346969,0.4487760803372377,0.55791883937872477
matlab_0041,0.16430835391267265,0.458017863272418,0.5510985087330118
matlab_0042,0.1720182114767885,0.46714616669747733,0.54430266252071613
matlab_0043,0.17987926497869633,0.47616146623623229,0.5375393666607321
matlab_0044,0.18788963590625296,0.48506436994239777,0.53081644696885566
matlab_0045,0.19604745695739678,0.49385561430975033,0.52414149085365214
matlab_0046,0.20435087414783765,0.50253606032387899,0.51752185060013811
matlab_0047,0.21279804885346923,0.51110668958143812,0.51096464817561338
matlab_0048,0.22138715978883877,0.51956860050173559,0.50447678149317865
matlab_0049,0.23011640492341098,0.52792300465442421,0.49806493207080005
matlab_0050,0.23898400333775377,0.53617122322606381,0.49173557402715812
matlab_0051,0.24798819702214275,0.54431468364737423,0.48549498435991945
matlab_0052,0.25712725262043756,0.55235491640213263,0.47934925445741633
matlab_0053,0.26639946312242901,0.56029355203791131,0.47330430280100377
matlab_0054,0.27580314950818208,0.56813231839819078,0.46736588882252655
matlab_0055,0.28533666234822497,0.57587303809485857,0.46153962788937702
matlab_0056,0.29499838336374606,0.58351762623972103,0.45583100739852228
matlab_0057,0.30478672695126902,0.59106808845342063,0.45024540397065432
matlab_0058,0.3147001416765815,0.59852651917009625,0.44478810174628108
matlab_0059,0.3247371117430019,0.60589510025624349,0.43946431179716439
matlab_0060,0.3348961584393747,0.61317609996256861,0.4342791926790962
matlab_0061,0.34517584157350578,0.62037187222815893,0.42923787216564097
matlab_0062,0.35557476089707518,0.62748485635710005,0.42434547021731051
matlab_0063,0.36609155752841077,0.63451757708867651,0.41960712325673616
matlab_0064,0.37672491537986597,0.64147264508364799,0.41502800983802468
matlab_0065,0.38747356259693588,0.64835275785069568,0.41061337781772567
matlab_0066,0.39833627301666213,0.65516070113910974,0.40636857315601554
matlab_0067,0.40931186765332883,0.66189935082611817,0.40229907050006181
matlab_0068,0.42039921621995158,0.66857167533000872,0.39841050572742631
matlab_0069,0.43159723869460198,0.6751807385833849,0.39470871065618923
matlab_0070,0.44290490694121598,0.68172970360461793,0.39119975016071734
matlab_0071,0.45432124639520199,0.68822183670982384,0.38788996196819969
matlab_0072,0.46584533782491067,0.69466051241262006,0.38478599945191455
matlab_0073,0.47747631918086286,0.70104921906455675,0.38189487778343589
matlab_0074,0.48921338754556221,0.70739156529558245,0.37922402385857212
matlab_0075,0.50105580119777615,0.71369128732130938,0.37678133047184292
matlab_0076,0.51300288180634268,0.71995225719231382,0.37457521528303828
matlab_0077,0.52505401676989893,0.72617849207040941,0.37261468519841018
matlab_0078,0.53720866172043069,0.73237416462794869,0.37090940688016033
matlab_0079,0.54946634321024768,0.73854361467896057,0.36946978420330628
matlab_0080,0.56182666160392436,0.74469136216557441,0.36830704360135086
matlab_0081,0.57428929419893437,0.75082212164002848,0.36743332838461767
matlab_0082,0.58685399860121124,0.75694081840198058,0.36686180328145651
matlab_0083,0.59952061638470533,0.76305260647324491,0.36660677064734526
matlab_0084,0.61228907706725677,0.76916288861802984,0.36668380001582929
matlab_0085,0.62515940243881607,0.77527733864683102,0.36710987293500463
matlab_0086,0.63813171128229695,0.78140192627710914,0.36790354535215125
matlab_0087,0.65120622453222865,0.78754294486466303,0.36908513018732264
matlab_0088,0.66438327092199412,0.79370704236724854,0.37067690318662927
matlab_0089,0.6776632931769212,0.79990125595786221,0.37270333568305136
matlab_0090,0.69104685481797845,0.80613305077076347,0.37519135853590924
matlab_0091,0.70453464764951113,0.81241036334071248,0.37817066229329777
matlab_0092,0.71812750001453207,0.81874165038761859,0.38167403955474072
matlab_0093,0.731826385912834,0.82513594370727827,0.38573777664048248
matlab_0094,0.74563243509091526,0.83160291205870052,0.39040210304736955
matlab_0095,0.75954694422880287,0.83815293109309708,0.39571170884695445
matlab_0096,0.77357138936777659,0.84479716255553838,0.40171634223612906
matlab_0097,0.78770743974532009,0.85154764421407869,0.40847150198010684
matlab_0098,0.80195697323005954,0.85841739224197688,0.41603924261652919
matlab_0099,0.81632209358085672,0.86542051810765763,0.42448911417848079
