sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,1.7983446129188518,-0.05604192829853849,17.379919635656435,7.0986951731880508,-692.82134318539693,-280.58554459360403
pmks_positive_0001,2.0328020084272431,0.040069200424486695,12.046137017229398,4.9625294871581627,-157.47565220944227,-61.711618417998736
pmks_positive_0002,2.2166340465026768,0.11622446321056223,10.230448461539217,4.264712772016118,-76.68868105774672,-28.683241548705411
pmks_positive_0003,2.3781075640125717,0.18398035354871256,9.2251686062810307,3.8982038195080437,-47.874307758205561,-16.904492208470558
pmks_positive_0004,2.5259600869776375,0.24690864883769459,8.5555390968181229,3.6688857904796364,-33.92432883523275,-11.203811208859099
pmks_positive_0005,2.6642552669806285,0.30667000352702178,8.061799901888115,3.5114278152522496,-25.988158782149888,-7.9626669346277694
pmks_positive_0006,2.7952650743149245,0.36419232388895573,7.6731834650513466,3.3968833006602379,-20.99748162273865,-5.926588104146564
pmks_positive_0007,2.9204051905176081,0.420053200267827,7.352934921777976,3.310211643103858,-17.63766864665422,-4.5580920656488111
pmks_positive_0008,3.0406234965428829,0.4746387394721312,7.0798461652616611,3.2427285003531532,-15.26167817575354,-3.5926365332116732
pmks_positive_0009,3.1565879682269982,0.52822038561106766,6.8407246342838111,3.1890266860346923,-13.518051592416315,-2.8865270704837265
pmks_positive_0010,3.2687876319784674,0.5809961959780412,6.626887109919128,3.1455426748322495,-12.201230665361724,-2.355719855822159
pmks_positive_0011,3.3775911831097956,0.63311480752211624,6.4323613275356344,3.1098213419602123,-11.183854478303413,-1.9481415200821988
pmks_positive_0012,3.4832831197165954,0.68469021069808456,6.2528923662530334,3.0801097330620957,-10.383274597688992,-1.6299989913019151
pmks_positive_0013,3.5860871035988224,0.73581130120542504,6.0853603043909104,3.0551189787516484,-9.743780885995637,-1.3785125816962458
pmks_positive_0014,3.68618166264601,0.78654830062937009,5.9274221046451343,3.0338778846769134,-9.2266088471778573,-1.1778305268044447
pmks_positive_0015,3.783711093158078,0.8369572146599058,5.7772824108646326,3.0156392266243586,-8.8040474510133251,-1.0166199911015117
pmks_positive_0016,3.8787932400291028,0.887083014903149,5.6335418126043155,2.9998177180350747,-8.4558221741864852,-0.88658828805232759
pmks_positive_0017,3.9715251811748411,0.93696196391701791,5.4950934452059421,2.985947739314474,-8.1667969192999408,-0.78154331884586636
pmks_positive_0018,4.0619874664921847,0.9866233493389398,5.3610507385633568,2.9736538021536862,-7.9254697089518338,-0.69677854334915268
pmks_positive_0019,4.1502473360506702,1.0360908007424063,5.2306958105865302,2.9626294543438281,-7.7229619603816122,-0.62865974981501194
pmks_positive_0020,4.2363612023293493,1.0853833056669888,5.103441884985517,2.9526219183633096,-7.5523235841125551,-0.5743409481934969
pmks_positive_0021,4.3203765920084161,1.134516004754764,4.9788054461346931,2.9434207109140931,-7.4080453464662774,-0.53156500262103257
