sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,1.6426033939870017,-4.8917740602427493,243.74812729297253
pmks_positive_0001,1.5804045776678208,-3.0290670173059846,54.244981719149102
pmks_positive_0002,1.5357097258101704,-2.4109180703376132,25.69101564887896
pmks_positive_0003,1.4985245209152058,-2.0791498801662511,15.508944587117638
pmks_positive_0004,1.4657612142009475,-1.8660328215986415,10.57415474745309
pmks_positive_0005,1.4359823873507009,-1.7151990485968309,7.7598027530802911
pmks_positive_0006,1.4083824629681196,-1.6017075381683523,5.9829937877598232
pmks_positive_0007,1.3824575241161434,-1.5126161836298899,4.7802150955044498
pmks_positive_0008,1.3578683232890234,-1.440462049515554,3.9235495417755661
pmks_positive_0009,1.3343740902153216,-1.3806044500623722,3.2893128816674708
pmks_positive_0010,1.3117970006603747,-1.3299889485124845,2.8052321245405616
pmks_positive_0011,1.2900015649817049,-1.2865138615949565,2.4265689105509916
pmks_positive_0012,1.2688819344202855,-1.2486805044113301,2.124317822531586
pmks_positive_0013,1.2483537020860171,-1.2153883462119028,1.878945674772607
pmks_positive_0014,1.2283483970427451,-1.185809126844932,1.6768738137958055
pmks_positive_0015,1.208809665174249,-1.1593063417800546,1.5084051004943
pmks_positive_0016,1.1896905464643615,-1.1353819751810506,1.3664520894837195
pmks_positive_0017,1.1709514877717684,-1.113640224703736,1.245729407700072
pmks_positive_0018,1.152558862557437,-1.0937621702091056,1.1422253772735103
pmks_positive_0019,1.1344838483860624,-1.0754876919889251,1.0528471927683327
pmks_positive_0020,1.1167015622122054,-1.058602311137216,0.97517709684949638
pmks_positive_0021,1.0991903848493414,-1.0429274456163533,0.90730136627022362
pmks_positive_0022,1.081931426569589,-1.0283130831990333,0.84768814806587878
pmks_positive_0023,1.0649080995467692,-1.014632194663095,0.79509874043113249
pmks_positive_0024,1.0481057722663796,-1.0017764199418981,0.74852219285918575
pmks_positive_0025,1.0315114875800415,-0.98965269881641715,0.70712643696144861
pmks_positive_0026,1.0151137307231981,-0.97818061165171244,0.67022131368449323
pmks_positive_0027,0.99890223695192693,-0.96729026029819976,0.63723028076768951
pmks_positive_0028,0.98286783088771812,-0.95692056444645757,0.60766853452678893
pmks_positive_0029,0.96700229145568994,-0.94701788075914106,0.58112592723035283
pmks_positive_0030,0.95129823764410759,-0.93753487512950451,0.55725350877119595
pmks_positive_0031,0.93574903132703247,-0.9284295951724203,0.5357528349890498
pmks_positive_0032,0.92034869416556209,-0.91966470238813325,0.51636740771417078
pmks_positive_0033,0.90509183619895595,-0.91120683261547575,0.49887577164004121
pmks_positive_0034,0.88997359419984035,-0.90302606028647392,0.48308590942007179
pmks_positive_0035,0.87498957823028312,-0.89509544722357348,0.46883066176139171
pmks_positive_0036,0.86013582512169329,-0.8873906607211457,0.45596396258621524
pmks_positive_0037,0.84540875782901093,-0.87988964873838793,0.44435772668877305
pmks_positive_0038,0.83080514979172138,-0.87257236242867553,0.43389926305248772
pmks_positive_0039,0.81632209358087016,-0.86542051810766418,0.42448911417848917
pmks_positive_0040,0.80195697323007265,-0.85841739224198332,0.41603924261653669
pmks_positive_0041,0.78770743974533264,-0.85154764421408458,0.40847150198011295
pmks_positive_0042,0.77357138936778869,-0.84479716255554393,0.40171634223613401
pmks_positive_0043,0.75954694422881508,-0.83815293109310285,0.39571170884695933
pmks_positive_0044,0.74563243509092703,-0.83160291205870573,0.39040210304737333
pmks_positive_0045,0.73182638591284566,-0.82513594370728383,0.3857377766404862
pmks_positive_0046,0.71812750001454362,-0.81874165038762403,0.38167403955474383
pmks_positive_0047,0.70453464764952245,-0.81241036334071759,0.37817066229330043
pmks_positive_0048,0.69104685481798944,-0.80613305077076391,0.37519135853590491
pmks_positive_0049,0.67766329317693197,-0.79990125595786721,0.37270333568305319
pmks_positive_0050,0.66438327092200467,-0.79370704236725353,0.37067690318663077
pmks_positive_0051,0.65120622453223898,-0.7875429448646678,0.3690851301873237
pmks_positive_0052,0.63813171128230706,-0.78140192627711391,0.36790354535215197
pmks_positive_0053,0.62515940243882595,-0.77527733864683579,0.36710987293500508
pmks_positive_0054,0.61228907706726632,-0.76916288861803472,0.36668380001582962
pmks_positive_0055,0.59952061638471466,-0.76305260647324935,0.36660677064734509
pmks_positive_0056,0.58685399860122012,-0.75694081840198479,0.3668618032814559
pmks_positive_0057,0.57428929419894337,-0.75082212164003281,0.36743332838461706
pmks_positive_0058,0.56182666160393302,-0.74469136216557874,0.36830704360135008
pmks_positive_0059,0.54946634321025623,-0.73854361467896479,0.36946978420330528
pmks_positive_0060,0.53720866172043891,-0.73237416462795313,0.37090940688015933
pmks_positive_0061,0.52505401676990704,-0.72617849207041374,0.37261468519840907
pmks_positive_0062,0.51300288180635056,-0.71995225719231781,0.37457521528303672
pmks_positive_0063,0.50105580119778359,-0.71369128732131326,0.37678133047184109
pmks_positive_0064,0.48921338754556976,-0.70739156529558656,0.37922402385857046
pmks_positive_0065,0.47747631918087019,-0.70104921906456064,0.38189487778343401
pmks_positive_0066,0.46584533782491788,-0.69466051241262405,0.38478599945191266
pmks_positive_0067,0.45432124639520888,-0.68822183670982784,0.38788996196819781
pmks_positive_0068,0.44290490694122253,-0.6817297036046216,0.39119975016071512
pmks_positive_0069,0.43159723869460842,-0.67518073858338867,0.39470871065618707
pmks_positive_0070,0.42039921621995791,-0.6685716753300126,0.39841050572742426
pmks_positive_0071,0.40931186765333494,-0.66189935082612184,0.40229907050005953
pmks_positive_0072,0.39833627301666796,-0.65516070113911329,0.40636857315601321
pmks_positive_0073,0.38747356259694143,-0.64835275785069924,0.41061337781772322
pmks_positive_0074,0.37672491537987141,-0.64147264508365143,0.41502800983802229
pmks_positive_0075,0.36609155752841588,-0.63451757708867995,0.41960712325673377
pmks_positive_0076,0.35557476089708007,-0.62748485635710349,0.42434547021730806
pmks_positive_0077,0.34517584157351067,-0.62037187222816215,0.42923787216563841
pmks_positive_0078,0.33489615843937948,-0.6131760999625715,0.43427919267909348
pmks_positive_0079,0.32473711174300623,-0.60589510025624682,0.43946431179716205
pmks_positive_0080,0.31470014167658578,-0.59852651917009947,0.4447881017462787
pmks_positive_0081,0.30478672695127296,-0.59106808845342373,0.45024540397065194
pmks_positive_0082,0.29499838336374995,-0.58351762623972403,0.45583100739852001
pmks_positive_0083,0.28533666234822874,-0.57587303809486157,0.4615396278893748
pmks_positive_0084,0.27580314950818569,-0.56813231839819378,0.46736588882252428
pmks_positive_0085,0.26639946312243251,-0.56029355203791431,0.47330430280100161
pmks_positive_0086,0.25712725262044089,-0.55235491640213552,0.47934925445741416
pmks_positive_0087,0.24798819702214581,-0.54431468364737723,0.48549498435991734
pmks_positive_0088,0.23898400333775682,-0.53617122322606658,0.49173557402715601
pmks_positive_0089,0.23011640492341368,-0.52792300465442699,0.49806493207079816
pmks_positive_0090,0.2213871597888413,-0.51956860050173814,0.50447678149317665
pmks_positive_0091,0.21279804885347176,-0.51110668958144068,0.51096464817561149
pmks_positive_0092,0.20435087414783992,-0.50253606032388132,0.51752185060013633
pmks_positive_0093,0.19604745695739892,-0.49385561430975272,0.52414149085365036
pmks_positive_0094,0.18788963590625501,-0.48506436994239993,0.53081644696885388
pmks_positive_0095,0.17987926497869827,-0.4761614662362344,0.53753936666073043
pmks_positive_0096,0.17201821147679036,-0.46714616669747955,0.54430266252071469
pmks_positive_0097,0.16430835391267443,-0.45801786327242,0.55109850873301036
pmks_positive_0098,0.1567515798346984,-0.44877608033723965,0.55791883937872333
pmks_positive_0099,0.14934978358688095,-0.43942047870243411,0.56475534839350339
pmks_positive_0100,0.1421048640017098,-0.42995085960370061,0.57159949124318832
pmks_positive_0101,0.13501872202674006,-0.42036716865015306,0.57844248837946211
pmks_positive_0102,0.12809325828595353,-0.41066949969969907,0.58527533053370862
pmks_positive_0103,0.12133037057734986,-0.40085809863049765,0.59208878590206937
pmks_positive_0104,0.11473195130876816,-0.39093336697657766,0.59887340926810928
pmks_positive_0105,0.10829988487447256,-0.38089586539499193,0.60561955310148952
pmks_positive_0106,0.10203604497558573,-0.37074631693131904,0.61231738066161423
pmks_positive_0107,0.095942291888011538,-0.36048561004992924,0.6189568811243773
pmks_positive_0108,0.090020469682047063,-0.35011480139522638,0.62552788673792581
pmks_positive_0109,0.08427240339845167,-0.33963511825009851,0.63202009199984144
pmks_positive_0110,0.078699896186297247,-0.32904796065804415,0.63842307483336636
pmks_positive_0111,0.07330472640848279,-0.31835490317596038,0.64472631972443506
pmks_positive_0112,0.068088644721338257,-0.30755769622534207,0.6509192427643653
pmks_positive_0113,0.063053371135271041,-0.29665826701071707,0.65699121852535447
pmks_positive_0114,0.058200592063922196,-0.28565871997550285,0.66293160867751966
pmks_positive_0115,0.053531957369774841,-0.27456133676715228,0.66872979223740092
pmks_positive_0116,0.049049077414614881,-0.26336857568544425,0.67437519731876605
pmks_positive_0117,0.044753520123664403,-0.252083070590092,0.6798573342375468
pmks_positive_0118,0.040646808072573065,-0.24070762924646361,0.68516582980399754
pmks_positive_0119,0.036730415606794298,-0.22924523109114667,0.69029046261704652
pmks_positive_0120,0.033005766003142922,-0.21769902440231448,0.69522119915855307
pmks_positive_0121,0.029474228683556342,-0.20607232286336127,0.69994823046913857
pmks_positive_0122,0.026137116491240064,-0.19436860151203569,0.70446200917269641
pmks_positive_0123,0.022995683039479742,-0.1825914920712908,0.70875328660390946
